Date,Open,High,Low,Close,Volume
08-01-2003,22.066999,22.09,21.943001,22.056999,114570
09-01-2003,22.066999,22.132999,21.847,22.066999,51555
10-01-2003,22.063,22.132999,21.933001,22.110001,30540
13-01-2003,24.667,24.667,21.799999,21.993,59040
14-01-2003,22.263,22.466999,22.136999,22.393,45600
15-01-2003,22.267,22.627001,21.653,21.907,50295
16-01-2003,20.667,22.466999,20.667,22.423,150120
17-01-2003,22.333,22.433001,22.267,22.297001,89235
20-01-2003,22.407,22.407,22.136999,22.309999,29775
21-01-2003,20.733,22.533001,20.667,22.306999,31245
22-01-2003,22.462999,22.462999,22.267,22.377001,207600
23-01-2003,22.527,22.527,22.07,22.23,61650
24-01-2003,22.132999,22.333,22.132999,22.299999,60285
27-01-2003,22.07,22.32,21.799999,22.097,23250
28-01-2003,22.033001,22.4,22.033001,22.187,60855
29-01-2003,22.200001,22.263,21.757,21.98,33105
30-01-2003,22.01,22.08,21.733,22.02,17520
31-01-2003,21.806999,22.066999,21.667,21.73,26985
03-02-2003,21.4,22.16,21.4,21.597,54750
04-02-2003,21.533001,21.933001,21.533001,21.853001,18540
05-02-2003,21.646999,22.107,21.646999,22,108795
06-02-2003,21.870001,22,21.833,22,49860
07-02-2003,21.74,21.923,21.74,21.886999,24570
10-02-2003,21.667,21.947001,21.466999,21.687,20490
11-02-2003,22.013,22.013,21.667,21.709999,22020
12-02-2003,21.863001,21.863001,21.667,21.777,4545
13-02-2003,21.777,21.777,21.777,21.777,0
14-02-2003,21.667,21.700001,21.4,21.617001,46095
17-02-2003,21.542999,21.857,21.367001,21.51,21525
18-02-2003,21.667,21.863001,21.337,21.4,66765
19-02-2003,21.65,21.65,21.363001,21.5,47265
20-02-2003,21.466999,21.667,21.4,21.603001,149370
21-02-2003,21.6,21.733,21.556999,21.673,34065
24-02-2003,21.783001,21.797001,21.433001,21.48,13755
25-02-2003,21.466999,21.6,21.466999,21.587,22545
26-02-2003,21.667,21.667,21.333,21.34,16515
27-02-2003,21.35,21.6,21.34,21.423,10200
28-02-2003,21.473,21.646999,21.003,21.177,45405
03-03-2003,21.549999,21.549999,20.933001,21.023001,122715
04-03-2003,21.667,21.667,20.733,20.833,58515
05-03-2003,21.299999,21.299999,20.667,20.773001,212100
06-03-2003,20.9,21.007,20.870001,20.93,16500
07-03-2003,20.933001,21.450001,20.867001,21.343,49020
10-03-2003,21.667,22.066999,21.4,21.903,97065
11-03-2003,21.667,22.200001,21.667,22.163,568125
12-03-2003,22,22.1,21.933001,22.049999,31560
13-03-2003,21.993,22.200001,21.867001,22.139999,41265
14-03-2003,22.139999,22.139999,22.139999,22.139999,0
17-03-2003,22.033001,22.33,21.77,22.040001,76605
18-03-2003,22.040001,22.040001,22.040001,22.040001,0
19-03-2003,22.333,23.933001,22,22.617001,314415
20-03-2003,22.333,23,22.280001,22.933001,142350
21-03-2003,22.933001,23.063,22.816999,23.027,190095
24-03-2003,22.333,23.290001,22.333,23.219999,279615
25-03-2003,22.993,23.132999,22.533001,22.790001,229980
26-03-2003,22.783001,22.783001,22.476999,22.583,19845
27-03-2003,22.4,22.667,22.367001,22.566999,30765
28-03-2003,22.367001,22.367001,22.08,22.207001,12105
31-03-2003,22.132999,22.333,21.886999,22,179940
01-04-2003,21.533001,21.966999,21.367001,21.917,23235
02-04-2003,21.933001,22.059999,21.799999,21.983,4500
12-03-2003,22,22.1,21.933001,22.049999,31560
13-03-2003,21.993,22.200001,21.867001,22.139999,41265
14-03-2003,22.139999,22.139999,22.139999,22.139999,0
03-01-2000,16.6,17,16.6,17,332590
04-01-2000,18.200001,18.344999,17.1,17.379999,1687100
05-01-2000,17,17.389999,16.5,16.695,1598200
